error_Jacobi error_Gauss error_ICF error_ICNE error_Multigrid
0.000000 228495117760352813056.000000 0.000000 0.000000 0.000000
0.000000 808098065231764127744.000000 0.000000 0.000000 0.000000
0.000000 1687087132639829950464.000000 0.000000 0.000000 0.000000
0.000000 5976450965251607756800.000000 0.000000 0.000000 0.000000
0.000000 12469280959590110855168.000000 0.000000 0.000000 0.000000
0.000000 44292350502248443281408.000000 0.000000 0.000000 0.000000
0.000000 92464247085645267206144.000000 0.000000 0.000000 0.000000
0.000000 328881904512908398690304.000000 0.000000 0.000000 0.000000
0.000000 686560224279915615223808.000000 0.000000 0.000000 0.000000
0.000000 2447314171089770778722304.000000 0.000000 0.000000 0.000000
0.000000 5109383783155920854319104.000000 0.000000 0.000000 0.000000
0.000000 18236956517009818633895936.000000 0.000000 0.000000 0.000000
0.000000 38082248048584011343200256.000000 0.000000 0.000000 0.000000
0.000000 136152965523954881481670656.000000 0.000000 0.000000 0.000000
0.000000 284299546606326697995272192.000000 0.000000 0.000000 0.000000
0.000000 1017763093066862784130580480.000000 0.000000 0.000000 0.000000
0.000000 2125625470384657634974236672.000000 0.000000 0.000000 0.000000
0.000000 7619443016256965894681395200.000000 0.000000 0.000000 0.000000
0.000000 15912816827490460034316369920.000000 0.000000 0.000000 0.000000
0.000000 57109952761705848404369735680.000000 0.000000 0.000000 0.000000
0.000000 119287574808233514928762257408.000000 0.000000 0.000000 0.000000
0.000000 428580118978921474587243839488.000000 0.000000 0.000000 0.000000
0.000000 895195260014853598456341069824.000000 0.000000 0.000000 0.000000
0.000000 3219778777918050421612696567808.000000 0.000000 0.000000 0.000000
0.000000 6725789241003573905773838729216.000000 0.000000 0.000000 0.000000
0.000000 24213927021377859799496578301952.000000 0.000000 0.000000 0.000000
0.000000 50582030870342887586787338747904.000000 0.000000 0.000000 0.000000
0.000000 182276580912050877515195628912640.000000 0.000000 0.000000 0.000000
0.000000 380782765121841072450579550175232.000000 0.000000 0.000000 0.000000
0.000000 1373356380305185380950709691744256.000000 0.000000 0.000000 0.000000
0.000000 2869100586359838816767206678855680.000000 0.000000 0.000000 0.000000
0.000000 10356501219136651238239324640116736.000000 0.000000 0.000000 0.000000
0.000000 21636355800100475470444224550273024.000000 0.000000 0.000000 0.000000
0.000000 78160399630036103096667655884505088.000000 0.000000 0.000000 0.000000
0.000000 163294341928027951732984833334312960.000000 0.000000 0.000000 0.000000
0.000000 590328059209841529200153459628703744.000000 0.000000 0.000000 0.000000
0.000000 1233343136053331757016117018716274688.000000 0.000000 0.000000 0.000000
0.000000 4461788488000988200816952072105623552.000000 0.000000 0.000000 0.000000
0.000000 9321991005454599544073039168365658112.000000 0.000000 0.000000 0.000000
0.000000 33745804988329529936613329527497555968.000000 0.000000 0.000000 0.000000
0.000000 70505742320749445206137466483212550144.000000 0.000000 0.000000 0.000000
0.000000 255392951712794895313294752355585097728.000000 0.000000 0.000000 0.000000
0.000000 533604261260685472997434584255592136704.000000 0.000000 0.000000 0.000000
0.000000 1934024736944762671231044359868385329152.000000 0.000000 0.000000 0.000000
0.000000 4040882787625273170125630084688507830272.000000 0.000000 0.000000 0.000000
0.000000 14654338249592389371728615576428028624896.000000 0.000000 0.000000 0.000000
0.000000 30618478621945261405142409600710857457664.000000 0.000000 0.000000 0.000000
0.000000 111098508303577108346430706816159521439744.000000 0.000000 0.000000 0.000000
0.000000 232128313348786577455346328184704081068032.000000 0.000000 0.000000 0.000000
0.000000 842708178132264231130689287240570464370688.000000 0.000000 0.000000 0.000000
0.000000 1760753389459964130548316227450905330450432.000000 0.000000 0.000000 0.000000
0.000000 6395310791707369832287661694625824437698560.000000 0.000000 0.000000 0.000000
0.000000 13362388128803763125916134641917290713448448.000000 0.000000 0.000000 0.000000
